observation_date,AKSTHPI
2000-01-01,170.99
2000-04-01,173.04
2000-07-01,174.39
2000-10-01,174.93
2001-01-01,177.69
2001-04-01,181.40
2001-07-01,183.86
2001-10-01,184.39
2002-01-01,187.28
2002-04-01,192.43
2002-07-01,193.76
2002-10-01,193.35
2003-01-01,194.69
2003-04-01,197.68
2003-07-01,202.21
2003-10-01,210.04
2004-01-01,211.21
2004-04-01,216.58
2004-07-01,227.38
2004-10-01,229.87
2005-01-01,235.35
2005-04-01,243.97
2005-07-01,253.29
2005-10-01,260.45
2006-01-01,265.05
2006-04-01,271.29
2006-07-01,276.48
2006-10-01,278.18
2007-01-01,281.86
2007-04-01,284.75
2007-07-01,284.02
2007-10-01,283.15
2008-01-01,283.15
2008-04-01,283.54
2008-07-01,280.16
2008-10-01,282.49
2009-01-01,283.41
2009-04-01,280.59
2009-07-01,279.31
2009-10-01,280.63
2010-01-01,276.90
2010-04-01,279.05
2010-07-01,280.76
2010-10-01,281.48
2011-01-01,281.27
2011-04-01,280.64
2011-07-01,281.72
2011-10-01,283.54
2012-01-01,281.89
2012-04-01,280.87
2012-07-01,283.70
2012-10-01,286.07
