observation_date,ALSTHPI
2000-01-01,207.47
2000-04-01,209.23
2000-07-01,210.90
2000-10-01,213.59
2001-01-01,219.82
2001-04-01,220.79
2001-07-01,222.33
2001-10-01,224.82
2002-01-01,225.24
2002-04-01,226.32
2002-07-01,229.73
2002-10-01,232.40
2003-01-01,234.73
2003-04-01,236.88
2003-07-01,238.47
2003-10-01,239.88
2004-01-01,242.26
2004-04-01,243.80
2004-07-01,248.23
2004-10-01,251.94
2005-01-01,255.22
2005-04-01,261.32
2005-07-01,266.85
2005-10-01,272.20
2006-01-01,277.86
2006-04-01,282.36
2006-07-01,286.82
2006-10-01,292.38
2007-01-01,294.22
2007-04-01,298.29
2007-07-01,299.04
2007-10-01,301.23
2008-01-01,303.19
2008-04-01,302.06
2008-07-01,299.78
2008-10-01,301.31
2009-01-01,303.42
2009-04-01,300.21
2009-07-01,293.14
2009-10-01,292.19
2010-01-01,287.93
2010-04-01,283.64
2010-07-01,287.47
2010-10-01,285.18
2011-01-01,277.58
2011-04-01,273.82
2011-07-01,275.92
2011-10-01,278.18
2012-01-01,275.24
2012-04-01,273.38
2012-07-01,275.23
2012-10-01,275.67
