observation_date,ARSTHPI
2000-01-01,177.14
2000-04-01,178.85
2000-07-01,179.95
2000-10-01,182.31
2001-01-01,186.81
2001-04-01,187.97
2001-07-01,189.93
2001-10-01,191.88
2002-01-01,192.53
2002-04-01,193.37
2002-07-01,196.58
2002-10-01,198.95
2003-01-01,200.43
2003-04-01,201.78
2003-07-01,204.20
2003-10-01,207.28
2004-01-01,209.80
2004-04-01,213.39
2004-07-01,216.83
2004-10-01,220.63
2005-01-01,223.77
2005-04-01,228.89
2005-07-01,233.97
2005-10-01,237.14
2006-01-01,240.56
2006-04-01,244.16
2006-07-01,246.63
2006-10-01,248.77
2007-01-01,250.93
2007-04-01,252.67
2007-07-01,252.19
2007-10-01,253.38
2008-01-01,253.19
2008-04-01,252.46
2008-07-01,249.60
2008-10-01,250.85
2009-01-01,252.96
2009-04-01,249.87
2009-07-01,245.81
2009-10-01,244.83
2010-01-01,241.45
2010-04-01,242.19
2010-07-01,242.96
2010-10-01,241.97
2011-01-01,238.06
2011-04-01,236.41
2011-07-01,238.62
2011-10-01,239.75
2012-01-01,239.21
2012-04-01,236.73
2012-07-01,240.13
2012-10-01,241.54
