observation_date,AZSTHPI
2000-01-01,198.95
2000-04-01,201.18
2000-07-01,203.84
2000-10-01,206.95
2001-01-01,211.59
2001-04-01,214.84
2001-07-01,217.95
2001-10-01,220.05
2002-01-01,223.04
2002-04-01,226.01
2002-07-01,229.85
2002-10-01,232.50
2003-01-01,235.25
2003-04-01,237.73
2003-07-01,241.39
2003-10-01,249.48
2004-01-01,253.86
2004-04-01,262.90
2004-07-01,278.27
2004-10-01,289.74
2005-01-01,307.22
2005-04-01,338.94
2005-07-01,367.68
2005-10-01,393.21
2006-01-01,408.02
2006-04-01,416.54
2006-07-01,420.20
2006-10-01,423.83
2007-01-01,422.22
2007-04-01,418.54
2007-07-01,409.17
2007-10-01,402.27
2008-01-01,389.02
2008-04-01,366.47
2008-07-01,339.95
2008-10-01,327.83
2009-01-01,326.82
2009-04-01,303.44
2009-07-01,287.77
2009-10-01,279.12
2010-01-01,271.44
2010-04-01,261.93
2010-07-01,261.58
2010-10-01,255.16
2011-01-01,240.77
2011-04-01,228.81
2011-07-01,230.72
2011-10-01,235.83
2012-01-01,234.93
2012-04-01,237.73
2012-07-01,247.39
2012-10-01,254.81
