observation_date,CASTHPI
2000-01-01,260.84
2000-04-01,267.86
2000-07-01,276.85
2000-10-01,285.40
2001-01-01,296.44
2001-04-01,305.50
2001-07-01,311.92
2001-10-01,316.30
2002-01-01,324.75
2002-04-01,335.77
2002-07-01,348.40
2002-10-01,358.59
2003-01-01,366.88
2003-04-01,373.75
2003-07-01,386.41
2003-10-01,411.10
2004-01-01,424.37
2004-04-01,450.95
2004-07-01,496.77
2004-10-01,515.87
2005-01-01,538.45
2005-04-01,570.01
2005-07-01,598.46
2005-10-01,625.21
2006-01-01,638.23
2006-04-01,644.07
2006-07-01,646.17
2006-10-01,642.47
2007-01-01,633.65
2007-04-01,623.02
2007-07-01,599.78
2007-10-01,575.20
2008-01-01,542.98
2008-04-01,498.09
2008-07-01,460.27
2008-10-01,444.38
2009-01-01,440.38
2009-04-01,420.27
2009-07-01,410.99
2009-10-01,412.27
2010-01-01,409.23
2010-04-01,407.98
2010-07-01,410.23
2010-10-01,405.72
2011-01-01,391.20
2011-04-01,384.89
2011-07-01,386.50
2011-10-01,385.32
2012-01-01,381.01
2012-04-01,381.65
2012-07-01,390.58
2012-10-01,398.86
