observation_date,COSTHPI
2000-01-01,259.43
2000-04-01,265.87
2000-07-01,272.78
2000-10-01,278.92
2001-01-01,286.72
2001-04-01,292.52
2001-07-01,297.97
2001-10-01,300.33
2002-01-01,303.85
2002-04-01,307.19
2002-07-01,311.57
2002-10-01,313.47
2003-01-01,314.39
2003-04-01,315.73
2003-07-01,317.14
2003-10-01,320.78
2004-01-01,323.24
2004-04-01,325.66
2004-07-01,330.31
2004-10-01,333.47
2005-01-01,337.01
2005-04-01,341.95
2005-07-01,347.27
2005-10-01,350.75
2006-01-01,351.74
2006-04-01,353.45
2006-07-01,355.20
2006-10-01,358.44
2007-01-01,359.33
2007-04-01,360.35
2007-07-01,358.08
2007-10-01,359.06
2008-01-01,360.90
2008-04-01,358.71
2008-07-01,351.60
2008-10-01,352.62
2009-01-01,359.20
2009-04-01,353.33
2009-07-01,344.94
2009-10-01,344.09
2010-01-01,340.07
2010-04-01,336.15
2010-07-01,340.36
2010-10-01,338.72
2011-01-01,330.24
2011-04-01,324.31
2011-07-01,327.61
2011-10-01,330.63
2012-01-01,328.81
2012-04-01,329.70
2012-07-01,335.08
2012-10-01,338.13
