observation_date,CTSTHPI
2000-01-01,261.20
2000-04-01,268.30
2000-07-01,274.09
2000-10-01,277.81
2001-01-01,284.72
2001-04-01,290.79
2001-07-01,297.98
2001-10-01,303.17
2002-01-01,309.59
2002-04-01,318.47
2002-07-01,327.17
2002-10-01,334.07
2003-01-01,338.29
2003-04-01,343.87
2003-07-01,352.07
2003-10-01,364.97
2004-01-01,371.24
2004-04-01,383.34
2004-07-01,402.77
2004-10-01,410.56
2005-01-01,420.99
2005-04-01,435.21
2005-07-01,447.13
2005-10-01,456.10
2006-01-01,462.05
2006-04-01,464.40
2006-07-01,464.95
2006-10-01,467.42
2007-01-01,470.73
2007-04-01,467.05
2007-07-01,463.14
2007-10-01,462.51
2008-01-01,461.86
2008-04-01,450.98
2008-07-01,437.06
2008-10-01,433.38
2009-01-01,436.81
2009-04-01,422.72
2009-07-01,412.05
2009-10-01,410.69
2010-01-01,405.90
2010-04-01,401.44
2010-07-01,405.99
2010-10-01,406.61
2011-01-01,396.15
2011-04-01,388.80
2011-07-01,389.91
2011-10-01,392.97
2012-01-01,386.48
2012-04-01,382.40
2012-07-01,383.39
2012-10-01,384.70
