observation_date,DESTHPI
2000-01-01,259.46
2000-04-01,264.04
2000-07-01,269.02
2000-10-01,272.45
2001-01-01,278.31
2001-04-01,283.24
2001-07-01,288.83
2001-10-01,292.70
2002-01-01,297.80
2002-04-01,305.47
2002-07-01,313.23
2002-10-01,318.24
2003-01-01,323.13
2003-04-01,329.94
2003-07-01,337.50
2003-10-01,350.29
2004-01-01,361.11
2004-04-01,369.21
2004-07-01,391.50
2004-10-01,403.52
2005-01-01,414.79
2005-04-01,432.28
2005-07-01,451.60
2005-10-01,461.09
2006-01-01,470.56
2006-04-01,479.44
2006-07-01,484.10
2006-10-01,492.70
2007-01-01,493.23
2007-04-01,496.83
2007-07-01,492.01
2007-10-01,492.74
2008-01-01,489.34
2008-04-01,482.35
2008-07-01,471.48
2008-10-01,466.21
2009-01-01,468.47
2009-04-01,454.65
2009-07-01,443.72
2009-10-01,440.09
2010-01-01,436.67
2010-04-01,431.99
2010-07-01,431.86
2010-10-01,428.50
2011-01-01,417.89
2011-04-01,406.00
2011-07-01,402.26
2011-10-01,407.17
2012-01-01,403.96
2012-04-01,395.30
2012-07-01,398.62
2012-10-01,401.14
