observation_date,IASTHPI
2000-01-01,187.65
2000-04-01,190.16
2000-07-01,192.62
2000-10-01,194.10
2001-01-01,198.19
2001-04-01,200.34
2001-07-01,201.67
2001-10-01,204.19
2002-01-01,205.97
2002-04-01,206.98
2002-07-01,209.60
2002-10-01,211.37
2003-01-01,212.71
2003-04-01,214.33
2003-07-01,216.95
2003-10-01,220.32
2004-01-01,221.99
2004-04-01,224.27
2004-07-01,227.49
2004-10-01,230.04
2005-01-01,232.61
2005-04-01,235.45
2005-07-01,239.21
2005-10-01,241.08
2006-01-01,240.98
2006-04-01,242.45
2006-07-01,243.91
2006-10-01,245.92
2007-01-01,246.78
2007-04-01,248.90
2007-07-01,248.81
2007-10-01,250.16
2008-01-01,251.61
2008-04-01,250.15
2008-07-01,248.26
2008-10-01,249.33
2009-01-01,251.78
2009-04-01,250.21
2009-07-01,248.74
2009-10-01,248.18
2010-01-01,246.18
2010-04-01,247.05
2010-07-01,249.39
2010-10-01,249.37
2011-01-01,247.08
2011-04-01,245.45
2011-07-01,247.93
2011-10-01,248.89
2012-01-01,248.91
2012-04-01,248.77
2012-07-01,250.78
2012-10-01,251.85
