observation_date,IDSTHPI
2000-01-01,213.61
2000-04-01,213.55
2000-07-01,215.44
2000-10-01,217.64
2001-01-01,223.26
2001-04-01,225.72
2001-07-01,226.99
2001-10-01,229.69
2002-01-01,230.18
2002-04-01,231.17
2002-07-01,234.89
2002-10-01,237.26
2003-01-01,239.47
2003-04-01,241.41
2003-07-01,243.40
2003-10-01,246.65
2004-01-01,249.68
2004-04-01,256.10
2004-07-01,265.04
2004-10-01,271.69
2005-01-01,278.41
2005-04-01,291.00
2005-07-01,308.39
2005-10-01,322.54
2006-01-01,333.95
2006-04-01,347.05
2006-07-01,356.80
2006-10-01,365.24
2007-01-01,370.55
2007-04-01,371.42
2007-07-01,371.84
2007-10-01,372.08
2008-01-01,373.49
2008-04-01,364.96
2008-07-01,354.67
2008-10-01,354.74
2009-01-01,355.80
2009-04-01,343.72
2009-07-01,328.81
2009-10-01,323.31
2010-01-01,312.71
2010-04-01,307.57
2010-07-01,306.49
2010-10-01,299.14
2011-01-01,282.47
2011-04-01,272.83
2011-07-01,277.98
2011-10-01,282.85
2012-01-01,280.43
2012-04-01,277.18
2012-07-01,283.29
2012-10-01,287.37
