observation_date,ILSTHPI
2000-01-01,241.52
2000-04-01,245.65
2000-07-01,249.75
2000-10-01,252.57
2001-01-01,255.88
2001-04-01,260.31
2001-07-01,265.14
2001-10-01,267.61
2002-01-01,272.22
2002-04-01,277.07
2002-07-01,280.63
2002-10-01,283.83
2003-01-01,286.80
2003-04-01,289.74
2003-07-01,293.82
2003-10-01,302.98
2004-01-01,306.31
2004-04-01,313.29
2004-07-01,323.59
2004-10-01,328.20
2005-01-01,334.99
2005-04-01,342.82
2005-07-01,349.97
2005-10-01,356.33
2006-01-01,360.99
2006-04-01,363.84
2006-07-01,366.60
2006-10-01,370.76
2007-01-01,372.98
2007-04-01,371.74
2007-07-01,368.70
2007-10-01,369.89
2008-01-01,368.30
2008-04-01,360.81
2008-07-01,348.57
2008-10-01,347.40
2009-01-01,345.92
2009-04-01,336.01
2009-07-01,325.49
2009-10-01,322.25
2010-01-01,316.95
2010-04-01,313.27
2010-07-01,316.47
2010-10-01,314.31
2011-01-01,303.52
2011-04-01,297.24
2011-07-01,299.38
2011-10-01,299.33
2012-01-01,295.43
2012-04-01,291.64
2012-07-01,295.02
2012-10-01,295.08
