observation_date,INSTHPI
2000-01-01,206.37
2000-04-01,208.13
2000-07-01,210.93
2000-10-01,212.91
2001-01-01,217.38
2001-04-01,219.14
2001-07-01,220.64
2001-10-01,222.67
2002-01-01,224.28
2002-04-01,224.98
2002-07-01,227.38
2002-10-01,228.46
2003-01-01,230.26
2003-04-01,231.40
2003-07-01,232.98
2003-10-01,235.04
2004-01-01,236.35
2004-04-01,237.16
2004-07-01,239.72
2004-10-01,242.47
2005-01-01,244.08
2005-04-01,246.23
2005-07-01,249.77
2005-10-01,250.27
2006-01-01,250.24
2006-04-01,250.08
2006-07-01,251.39
2006-10-01,253.95
2007-01-01,254.72
2007-04-01,255.58
2007-07-01,254.53
2007-10-01,254.90
2008-01-01,256.86
2008-04-01,254.95
2008-07-01,251.01
2008-10-01,250.61
2009-01-01,254.53
2009-04-01,250.54
2009-07-01,246.13
2009-10-01,246.16
2010-01-01,242.63
2010-04-01,242.91
2010-07-01,246.16
2010-10-01,245.62
2011-01-01,240.22
2011-04-01,238.10
2011-07-01,241.00
2011-10-01,242.21
2012-01-01,240.04
2012-04-01,239.56
2012-07-01,241.72
2012-10-01,242.33
