observation_date,KSSTHPI
2000-01-01,178.50
2000-04-01,179.98
2000-07-01,182.46
2000-10-01,184.32
2001-01-01,187.91
2001-04-01,190.23
2001-07-01,192.35
2001-10-01,194.04
2002-01-01,196.61
2002-04-01,198.52
2002-07-01,200.49
2002-10-01,202.11
2003-01-01,203.60
2003-04-01,205.06
2003-07-01,206.56
2003-10-01,209.81
2004-01-01,211.86
2004-04-01,213.98
2004-07-01,216.20
2004-10-01,218.86
2005-01-01,221.03
2005-04-01,224.22
2005-07-01,226.80
2005-10-01,228.03
2006-01-01,229.02
2006-04-01,230.95
2006-07-01,233.00
2006-10-01,235.19
2007-01-01,236.58
2007-04-01,239.15
2007-07-01,238.55
2007-10-01,238.47
2008-01-01,240.12
2008-04-01,238.68
2008-07-01,235.87
2008-10-01,236.28
2009-01-01,239.11
2009-04-01,237.45
2009-07-01,235.59
2009-10-01,235.16
2010-01-01,233.44
2010-04-01,233.06
2010-07-01,235.63
2010-10-01,235.45
2011-01-01,231.66
2011-04-01,228.19
2011-07-01,230.82
2011-10-01,232.71
2012-01-01,231.03
2012-04-01,229.87
2012-07-01,232.13
2012-10-01,232.38
