observation_date,KYSTHPI
2000-01-01,217.18
2000-04-01,219.08
2000-07-01,220.96
2000-10-01,223.73
2001-01-01,228.11
2001-04-01,230.15
2001-07-01,232.07
2001-10-01,233.89
2002-01-01,235.75
2002-04-01,237.35
2002-07-01,239.85
2002-10-01,242.12
2003-01-01,244.12
2003-04-01,246.06
2003-07-01,248.15
2003-10-01,251.66
2004-01-01,254.74
2004-04-01,256.97
2004-07-01,260.01
2004-10-01,265.00
2005-01-01,266.87
2005-04-01,270.60
2005-07-01,274.95
2005-10-01,276.33
2006-01-01,278.91
2006-04-01,279.81
2006-07-01,281.00
2006-10-01,284.03
2007-01-01,286.55
2007-04-01,287.30
2007-07-01,286.94
2007-10-01,289.94
2008-01-01,291.28
2008-04-01,291.17
2008-07-01,286.72
2008-10-01,288.41
2009-01-01,290.98
2009-04-01,288.17
2009-07-01,284.80
2009-10-01,284.78
2010-01-01,282.77
2010-04-01,281.71
2010-07-01,285.59
2010-10-01,285.24
2011-01-01,281.13
2011-04-01,278.32
2011-07-01,280.56
2011-10-01,281.64
2012-01-01,281.32
2012-04-01,280.32
2012-07-01,282.55
2012-10-01,283.59
