observation_date,MASTHPI
2000-01-01,401.28
2000-04-01,414.32
2000-07-01,429.44
2000-10-01,439.85
2001-01-01,451.61
2001-04-01,465.36
2001-07-01,480.87
2001-10-01,490.68
2002-01-01,504.93
2002-04-01,523.52
2002-07-01,538.85
2002-10-01,551.05
2003-01-01,561.94
2003-04-01,571.05
2003-07-01,581.81
2003-10-01,606.64
2004-01-01,616.87
2004-04-01,631.41
2004-07-01,661.87
2004-10-01,672.89
2005-01-01,687.36
2005-04-01,703.64
2005-07-01,714.82
2005-10-01,719.74
2006-01-01,720.44
2006-04-01,711.55
2006-07-01,706.32
2006-10-01,708.28
2007-01-01,702.86
2007-04-01,692.75
2007-07-01,679.10
2007-10-01,679.12
2008-01-01,675.70
2008-04-01,654.19
2008-07-01,637.89
2008-10-01,638.71
2009-01-01,639.02
2009-04-01,623.22
2009-07-01,612.59
2009-10-01,613.65
2010-01-01,609.93
2010-04-01,608.11
2010-07-01,611.70
2010-10-01,611.45
2011-01-01,602.58
2011-04-01,595.59
2011-07-01,598.78
2011-10-01,599.51
2012-01-01,595.72
2012-04-01,593.94
2012-07-01,597.99
2012-10-01,600.86
