observation_date,MDSTHPI
2000-01-01,237.79
2000-04-01,240.40
2000-07-01,244.80
2000-10-01,248.70
2001-01-01,254.38
2001-04-01,259.35
2001-07-01,266.20
2001-10-01,270.52
2002-01-01,277.25
2002-04-01,286.36
2002-07-01,295.27
2002-10-01,301.33
2003-01-01,307.09
2003-04-01,313.73
2003-07-01,323.31
2003-10-01,340.72
2004-01-01,350.19
2004-04-01,366.64
2004-07-01,393.55
2004-10-01,407.14
2005-01-01,425.22
2005-04-01,451.09
2005-07-01,474.54
2005-10-01,493.56
2006-01-01,507.18
2006-04-01,517.68
2006-07-01,524.61
2006-10-01,531.46
2007-01-01,533.36
2007-04-01,534.21
2007-07-01,526.56
2007-10-01,523.70
2008-01-01,515.69
2008-04-01,497.91
2008-07-01,477.65
2008-10-01,470.47
2009-01-01,465.71
2009-04-01,447.71
2009-07-01,436.67
2009-10-01,429.05
2010-01-01,425.71
2010-04-01,420.51
2010-07-01,425.81
2010-10-01,421.83
2011-01-01,409.05
2011-04-01,400.89
2011-07-01,406.87
2011-10-01,408.89
2012-01-01,403.01
2012-04-01,399.06
2012-07-01,404.42
2012-10-01,405.93
