observation_date,MISTHPI
2000-01-01,252.74
2000-04-01,256.30
2000-07-01,260.85
2000-10-01,264.58
2001-01-01,268.74
2001-04-01,272.23
2001-07-01,275.83
2001-10-01,278.10
2002-01-01,281.53
2002-04-01,284.65
2002-07-01,287.27
2002-10-01,289.11
2003-01-01,291.30
2003-04-01,293.54
2003-07-01,296.15
2003-10-01,300.47
2004-01-01,302.52
2004-04-01,304.57
2004-07-01,308.75
2004-10-01,312.11
2005-01-01,314.75
2005-04-01,316.49
2005-07-01,319.06
2005-10-01,318.32
2006-01-01,317.11
2006-04-01,311.87
2006-07-01,309.43
2006-10-01,310.96
2007-01-01,308.53
2007-04-01,302.78
2007-07-01,293.13
2007-10-01,291.94
2008-01-01,291.12
2008-04-01,279.11
2008-07-01,267.86
2008-10-01,265.03
2009-01-01,270.59
2009-04-01,260.06
2009-07-01,248.36
2009-10-01,243.99
2010-01-01,239.16
2010-04-01,235.36
2010-07-01,239.40
2010-10-01,238.87
2011-01-01,229.10
2011-04-01,225.27
2011-07-01,229.86
2011-10-01,231.66
2012-01-01,227.12
2012-04-01,226.03
2012-07-01,230.53
2012-10-01,233.72
