observation_date,MSSTHPI
2000-01-01,180.63
2000-04-01,181.96
2000-07-01,184.63
2000-10-01,186.03
2001-01-01,190.82
2001-04-01,191.93
2001-07-01,193.86
2001-10-01,195.46
2002-01-01,196.09
2002-04-01,195.48
2002-07-01,199.06
2002-10-01,201.07
2003-01-01,202.40
2003-04-01,203.94
2003-07-01,204.97
2003-10-01,206.50
2004-01-01,208.54
2004-04-01,210.94
2004-07-01,213.56
2004-10-01,216.49
2005-01-01,217.88
2005-04-01,222.19
2005-07-01,226.74
2005-10-01,232.05
2006-01-01,235.60
2006-04-01,242.62
2006-07-01,247.33
2006-10-01,251.82
2007-01-01,255.72
2007-04-01,255.62
2007-07-01,255.80
2007-10-01,259.20
2008-01-01,259.57
2008-04-01,257.53
2008-07-01,252.87
2008-10-01,255.21
2009-01-01,256.10
2009-04-01,253.55
2009-07-01,248.63
2009-10-01,247.38
2010-01-01,244.47
2010-04-01,241.45
2010-07-01,244.22
2010-10-01,242.53
2011-01-01,237.25
2011-04-01,237.27
2011-07-01,239.53
2011-10-01,240.95
2012-01-01,238.38
2012-04-01,237.06
2012-07-01,239.38
2012-10-01,237.86
