observation_date,NCSTHPI
2000-01-01,233.38
2000-04-01,236.31
2000-07-01,239.32
2000-10-01,241.90
2001-01-01,247.21
2001-04-01,249.37
2001-07-01,251.39
2001-10-01,253.67
2002-01-01,255.22
2002-04-01,256.34
2002-07-01,259.88
2002-10-01,261.61
2003-01-01,263.79
2003-04-01,265.51
2003-07-01,266.89
2003-10-01,269.26
2004-01-01,272.37
2004-04-01,274.83
2004-07-01,277.64
2004-10-01,282.47
2005-01-01,287.05
2005-04-01,290.79
2005-07-01,297.34
2005-10-01,303.62
2006-01-01,308.47
2006-04-01,312.72
2006-07-01,318.06
2006-10-01,323.93
2007-01-01,328.94
2007-04-01,332.06
2007-07-01,333.41
2007-10-01,335.95
2008-01-01,338.82
2008-04-01,338.10
2008-07-01,334.12
2008-10-01,333.99
2009-01-01,337.79
2009-04-01,332.04
2009-07-01,324.37
2009-10-01,320.49
2010-01-01,315.21
2010-04-01,312.72
2010-07-01,314.70
2010-10-01,312.95
2011-01-01,305.95
2011-04-01,299.79
2011-07-01,301.24
2011-10-01,302.29
2012-01-01,298.11
2012-04-01,294.56
2012-07-01,297.58
2012-10-01,298.81
