observation_date,NDSTHPI
2000-01-01,159.13
2000-04-01,160.48
2000-07-01,162.10
2000-10-01,163.54
2001-01-01,167.52
2001-04-01,168.83
2001-07-01,170.07
2001-10-01,171.54
2002-01-01,173.36
2002-04-01,174.99
2002-07-01,178.84
2002-10-01,180.73
2003-01-01,181.94
2003-04-01,184.79
2003-07-01,187.46
2003-10-01,190.88
2004-01-01,192.94
2004-04-01,196.12
2004-07-01,202.27
2004-10-01,206.27
2005-01-01,207.33
2005-04-01,213.86
2005-07-01,218.69
2005-10-01,221.63
2006-01-01,222.52
2006-04-01,229.15
2006-07-01,231.77
2006-10-01,232.47
2007-01-01,237.21
2007-04-01,239.90
2007-07-01,241.47
2007-10-01,242.13
2008-01-01,246.32
2008-04-01,247.56
2008-07-01,247.45
2008-10-01,249.82
2009-01-01,251.34
2009-04-01,251.19
2009-07-01,251.01
2009-10-01,252.92
2010-01-01,253.07
2010-04-01,252.85
2010-07-01,255.01
2010-10-01,257.93
2011-01-01,259.33
2011-04-01,263.01
2011-07-01,265.84
2011-10-01,268.21
2012-01-01,270.34
2012-04-01,277.75
2012-07-01,282.35
2012-10-01,289.94
