observation_date,NHSTHPI
2000-01-01,250.55
2000-04-01,259.09
2000-07-01,268.73
2000-10-01,276.11
2001-01-01,282.36
2001-04-01,292.03
2001-07-01,302.21
2001-10-01,307.65
2002-01-01,316.06
2002-04-01,327.19
2002-07-01,337.34
2002-10-01,344.97
2003-01-01,350.35
2003-04-01,355.79
2003-07-01,365.05
2003-10-01,379.45
2004-01-01,385.03
2004-04-01,395.37
2004-07-01,412.84
2004-10-01,420.98
2005-01-01,432.19
2005-04-01,442.50
2005-07-01,453.00
2005-10-01,458.26
2006-01-01,461.88
2006-04-01,459.33
2006-07-01,457.55
2006-10-01,460.49
2007-01-01,459.09
2007-04-01,456.01
2007-07-01,448.65
2007-10-01,448.11
2008-01-01,448.37
2008-04-01,436.84
2008-07-01,421.63
2008-10-01,419.99
2009-01-01,421.56
2009-04-01,409.52
2009-07-01,396.40
2009-10-01,394.08
2010-01-01,390.32
2010-04-01,387.56
2010-07-01,391.98
2010-10-01,389.71
2011-01-01,381.03
2011-04-01,374.22
2011-07-01,376.23
2011-10-01,378.06
2012-01-01,372.65
2012-04-01,369.61
2012-07-01,371.60
2012-10-01,372.88
