observation_date,NJSTHPI
2000-01-01,278.77
2000-04-01,285.47
2000-07-01,293.82
2000-10-01,298.26
2001-01-01,305.07
2001-04-01,313.73
2001-07-01,322.77
2001-10-01,329.19
2002-01-01,338.69
2002-04-01,351.33
2002-07-01,363.04
2002-10-01,371.46
2003-01-01,378.28
2003-04-01,384.99
2003-07-01,396.70
2003-10-01,416.77
2004-01-01,425.45
2004-04-01,438.80
2004-07-01,468.20
2004-10-01,480.18
2005-01-01,494.57
2005-04-01,515.94
2005-07-01,535.85
2005-10-01,552.13
2006-01-01,562.73
2006-04-01,569.41
2006-07-01,572.83
2006-10-01,575.74
2007-01-01,576.52
2007-04-01,572.95
2007-07-01,565.74
2007-10-01,563.40
2008-01-01,559.70
2008-04-01,543.66
2008-07-01,528.05
2008-10-01,522.49
2009-01-01,521.12
2009-04-01,504.22
2009-07-01,491.57
2009-10-01,487.80
2010-01-01,485.16
2010-04-01,481.40
2010-07-01,484.68
2010-10-01,483.63
2011-01-01,472.20
2011-04-01,462.75
2011-07-01,461.22
2011-10-01,461.37
2012-01-01,454.96
2012-04-01,448.93
2012-07-01,451.48
2012-10-01,452.41
