observation_date,NMSTHPI
2000-01-01,199.04
2000-04-01,199.67
2000-07-01,200.96
2000-10-01,202.00
2001-01-01,206.91
2001-04-01,208.45
2001-07-01,209.73
2001-10-01,211.22
2002-01-01,212.38
2002-04-01,215.35
2002-07-01,218.47
2002-10-01,220.53
2003-01-01,223.26
2003-04-01,225.82
2003-07-01,228.59
2003-10-01,233.53
2004-01-01,236.16
2004-04-01,241.20
2004-07-01,247.34
2004-10-01,252.48
2005-01-01,257.56
2005-04-01,268.95
2005-07-01,279.20
2005-10-01,287.56
2006-01-01,295.98
2006-04-01,306.87
2006-07-01,314.20
2006-10-01,321.73
2007-01-01,326.37
2007-04-01,329.13
2007-07-01,329.82
2007-10-01,331.04
2008-01-01,332.23
2008-04-01,328.43
2008-07-01,320.48
2008-10-01,319.61
2009-01-01,322.54
2009-04-01,313.82
2009-07-01,307.55
2009-10-01,305.09
2010-01-01,304.43
2010-04-01,298.97
2010-07-01,300.91
2010-10-01,297.88
2011-01-01,290.28
2011-04-01,284.83
2011-07-01,286.08
2011-10-01,287.14
2012-01-01,282.34
2012-04-01,280.15
2012-07-01,282.53
2012-10-01,282.61
