observation_date,NVSTHPI
2000-01-01,192.75
2000-04-01,195.18
2000-07-01,197.06
2000-10-01,199.87
2001-01-01,204.38
2001-04-01,206.97
2001-07-01,210.82
2001-10-01,213.48
2002-01-01,216.58
2002-04-01,220.09
2002-07-01,224.90
2002-10-01,227.47
2003-01-01,231.52
2003-04-01,236.11
2003-07-01,242.88
2003-10-01,257.38
2004-01-01,270.99
2004-04-01,295.69
2004-07-01,333.23
2004-10-01,346.09
2005-01-01,360.00
2005-04-01,378.90
2005-07-01,392.48
2005-10-01,407.02
2006-01-01,416.13
2006-04-01,417.00
2006-07-01,418.48
2006-10-01,417.08
2007-01-01,414.47
2007-04-01,405.93
2007-07-01,392.26
2007-10-01,382.26
2008-01-01,361.16
2008-04-01,331.99
2008-07-01,298.71
2008-10-01,282.77
2009-01-01,281.31
2009-04-01,260.94
2009-07-01,242.80
2009-10-01,235.62
2010-01-01,226.38
2010-04-01,218.76
2010-07-01,220.15
2010-10-01,214.23
2011-01-01,202.46
2011-04-01,188.95
2011-07-01,187.62
2011-10-01,187.91
2012-01-01,186.33
2012-04-01,185.41
2012-07-01,190.13
2012-10-01,195.29
