observation_date,NYSTHPI
2000-01-01,334.19
2000-04-01,344.21
2000-07-01,354.21
2000-10-01,359.61
2001-01-01,367.74
2001-04-01,375.95
2001-07-01,386.23
2001-10-01,393.03
2002-01-01,402.63
2002-04-01,415.35
2002-07-01,427.93
2002-10-01,437.21
2003-01-01,446.99
2003-04-01,457.87
2003-07-01,464.88
2003-10-01,486.63
2004-01-01,496.94
2004-04-01,511.63
2004-07-01,536.24
2004-10-01,549.72
2005-01-01,564.51
2005-04-01,583.39
2005-07-01,602.23
2005-10-01,616.04
2006-01-01,627.06
2006-04-01,628.86
2006-07-01,628.17
2006-10-01,636.46
2007-01-01,639.61
2007-04-01,637.44
2007-07-01,628.16
2007-10-01,630.13
2008-01-01,633.49
2008-04-01,621.60
2008-07-01,605.24
2008-10-01,599.51
2009-01-01,606.65
2009-04-01,593.50
2009-07-01,579.65
2009-10-01,574.36
2010-01-01,570.82
2010-04-01,567.05
2010-07-01,575.12
2010-10-01,574.88
2011-01-01,566.25
2011-04-01,558.22
2011-07-01,555.55
2011-10-01,559.86
2012-01-01,555.68
2012-04-01,549.94
2012-07-01,551.74
2012-10-01,553.53
