observation_date,OHSTHPI
2000-01-01,215.88
2000-04-01,218.47
2000-07-01,221.15
2000-10-01,224.00
2001-01-01,228.26
2001-04-01,230.61
2001-07-01,232.77
2001-10-01,234.69
2002-01-01,236.66
2002-04-01,238.29
2002-07-01,240.65
2002-10-01,242.20
2003-01-01,243.97
2003-04-01,245.72
2003-07-01,247.73
2003-10-01,251.13
2004-01-01,252.65
2004-04-01,254.16
2004-07-01,257.09
2004-10-01,259.75
2005-01-01,262.12
2005-04-01,264.14
2005-07-01,266.67
2005-10-01,266.98
2006-01-01,266.97
2006-04-01,265.85
2006-07-01,265.24
2006-10-01,266.33
2007-01-01,266.34
2007-04-01,264.77
2007-07-01,261.85
2007-10-01,261.71
2008-01-01,262.91
2008-04-01,258.88
2008-07-01,252.45
2008-10-01,252.96
2009-01-01,257.59
2009-04-01,251.77
2009-07-01,246.74
2009-10-01,246.32
2010-01-01,243.58
2010-04-01,241.72
2010-07-01,244.96
2010-10-01,243.95
2011-01-01,236.44
2011-04-01,232.89
2011-07-01,235.78
2011-10-01,236.49
2012-01-01,233.66
2012-04-01,232.45
2012-07-01,234.69
2012-10-01,234.15
