observation_date,OKSTHPI
2000-01-01,144.22
2000-04-01,145.86
2000-07-01,148.28
2000-10-01,149.29
2001-01-01,152.72
2001-04-01,154.26
2001-07-01,155.82
2001-10-01,157.58
2002-01-01,158.42
2002-04-01,160.00
2002-07-01,162.17
2002-10-01,164.13
2003-01-01,165.21
2003-04-01,167.25
2003-07-01,168.41
2003-10-01,170.01
2004-01-01,171.99
2004-04-01,173.63
2004-07-01,174.91
2004-10-01,177.88
2005-01-01,179.06
2005-04-01,182.01
2005-07-01,185.41
2005-10-01,187.57
2006-01-01,188.80
2006-04-01,191.43
2006-07-01,192.75
2006-10-01,195.42
2007-01-01,197.84
2007-04-01,198.72
2007-07-01,201.40
2007-10-01,203.23
2008-01-01,204.24
2008-04-01,205.38
2008-07-01,203.74
2008-10-01,203.87
2009-01-01,207.20
2009-04-01,205.43
2009-07-01,204.14
2009-10-01,204.74
2010-01-01,203.25
2010-04-01,203.05
2010-07-01,205.09
2010-10-01,204.49
2011-01-01,200.27
2011-04-01,200.23
2011-07-01,199.80
2011-10-01,202.75
2012-01-01,202.75
2012-04-01,202.52
2012-07-01,204.16
2012-10-01,205.52
