observation_date,ORSTHPI
2000-01-01,247.96
2000-04-01,249.57
2000-07-01,251.93
2000-10-01,254.74
2001-01-01,261.62
2001-04-01,264.06
2001-07-01,266.44
2001-10-01,268.74
2002-01-01,272.11
2002-04-01,274.09
2002-07-01,278.78
2002-10-01,281.00
2003-01-01,283.89
2003-04-01,286.54
2003-07-01,290.62
2003-10-01,297.97
2004-01-01,301.75
2004-04-01,310.79
2004-07-01,324.55
2004-10-01,332.12
2005-01-01,342.13
2005-04-01,360.44
2005-07-01,380.46
2005-10-01,397.10
2006-01-01,411.28
2006-04-01,428.05
2006-07-01,439.32
2006-10-01,447.53
2007-01-01,452.67
2007-04-01,457.77
2007-07-01,455.48
2007-10-01,457.09
2008-01-01,454.41
2008-04-01,446.31
2008-07-01,431.85
2008-10-01,425.50
2009-01-01,422.97
2009-04-01,406.72
2009-07-01,392.60
2009-10-01,385.51
2010-01-01,378.70
2010-04-01,373.15
2010-07-01,373.28
2010-10-01,367.65
2011-01-01,352.34
2011-04-01,342.05
2011-07-01,345.11
2011-10-01,348.51
2012-01-01,342.40
2012-04-01,338.84
2012-07-01,346.13
2012-10-01,351.85
