observation_date,SDSTHPI
2000-01-01,196.41
2000-04-01,200.07
2000-07-01,203.47
2000-10-01,203.64
2001-01-01,208.08
2001-04-01,211.11
2001-07-01,212.83
2001-10-01,213.90
2002-01-01,216.85
2002-04-01,219.75
2002-07-01,222.33
2002-10-01,223.65
2003-01-01,225.69
2003-04-01,226.90
2003-07-01,231.01
2003-10-01,235.88
2004-01-01,236.32
2004-04-01,240.85
2004-07-01,245.68
2004-10-01,249.14
2005-01-01,252.42
2005-04-01,258.29
2005-07-01,262.45
2005-10-01,266.46
2006-01-01,266.20
2006-04-01,270.72
2006-07-01,275.15
2006-10-01,276.25
2007-01-01,279.36
2007-04-01,282.13
2007-07-01,284.01
2007-10-01,286.37
2008-01-01,289.41
2008-04-01,289.90
2008-07-01,289.52
2008-10-01,291.45
2009-01-01,294.23
2009-04-01,293.01
2009-07-01,289.74
2009-10-01,288.37
2010-01-01,286.61
2010-04-01,286.23
2010-07-01,291.07
2010-10-01,291.12
2011-01-01,289.34
2011-04-01,286.80
2011-07-01,289.90
2011-10-01,291.63
2012-01-01,291.59
2012-04-01,293.08
2012-07-01,294.58
2012-10-01,298.37
