observation_date,TNSTHPI
2000-01-01,212.93
2000-04-01,214.19
2000-07-01,216.28
2000-10-01,218.21
2001-01-01,223.69
2001-04-01,224.84
2001-07-01,226.23
2001-10-01,228.93
2002-01-01,229.91
2002-04-01,230.39
2002-07-01,233.71
2002-10-01,235.79
2003-01-01,237.36
2003-04-01,239.34
2003-07-01,240.94
2003-10-01,243.56
2004-01-01,245.47
2004-04-01,248.28
2004-07-01,251.78
2004-10-01,254.88
2005-01-01,258.43
2005-04-01,264.03
2005-07-01,269.36
2005-10-01,273.64
2006-01-01,278.15
2006-04-01,283.53
2006-07-01,287.09
2006-10-01,292.37
2007-01-01,295.12
2007-04-01,298.68
2007-07-01,299.01
2007-10-01,301.09
2008-01-01,302.36
2008-04-01,301.28
2008-07-01,296.78
2008-10-01,298.03
2009-01-01,300.61
2009-04-01,297.56
2009-07-01,290.68
2009-10-01,287.86
2010-01-01,285.14
2010-04-01,283.91
2010-07-01,287.92
2010-10-01,285.89
2011-01-01,279.04
2011-04-01,275.39
2011-07-01,278.59
2011-10-01,279.40
2012-01-01,276.89
2012-04-01,275.84
2012-07-01,278.84
2012-10-01,279.33
