observation_date,TXSTHPI
2000-01-01,159.01
2000-04-01,161.65
2000-07-01,164.09
2000-10-01,165.98
2001-01-01,170.70
2001-04-01,172.93
2001-07-01,174.22
2001-10-01,176.17
2002-01-01,176.68
2002-04-01,178.18
2002-07-01,180.96
2002-10-01,182.86
2003-01-01,183.73
2003-04-01,184.91
2003-07-01,185.50
2003-10-01,186.63
2004-01-01,187.52
2004-04-01,189.42
2004-07-01,190.97
2004-10-01,193.15
2005-01-01,194.17
2005-04-01,197.33
2005-07-01,200.49
2005-10-01,202.85
2006-01-01,205.19
2006-04-01,208.50
2006-07-01,211.58
2006-10-01,214.49
2007-01-01,217.22
2007-04-01,220.89
2007-07-01,221.66
2007-10-01,223.35
2008-01-01,224.54
2008-04-01,225.16
2008-07-01,224.47
2008-10-01,224.83
2009-01-01,227.48
2009-04-01,226.02
2009-07-01,223.80
2009-10-01,223.18
2010-01-01,221.82
2010-04-01,222.01
2010-07-01,223.39
2010-10-01,222.35
2011-01-01,219.10
2011-04-01,218.03
2011-07-01,219.88
2011-10-01,220.07
2012-01-01,219.94
2012-04-01,221.49
2012-07-01,223.43
2012-10-01,225.07
