observation_date,UTSTHPI
2000-01-01,236.40
2000-04-01,236.45
2000-07-01,238.90
2000-10-01,242.18
2001-01-01,247.74
2001-04-01,248.19
2001-07-01,248.47
2001-10-01,250.98
2002-01-01,250.56
2002-04-01,250.09
2002-07-01,253.17
2002-10-01,254.55
2003-01-01,255.23
2003-04-01,256.13
2003-07-01,256.91
2003-10-01,257.13
2004-01-01,259.61
2004-04-01,261.98
2004-07-01,265.38
2004-10-01,270.46
2005-01-01,275.51
2005-04-01,284.23
2005-07-01,294.61
2005-10-01,304.44
2006-01-01,314.94
2006-04-01,328.22
2006-07-01,342.71
2006-10-01,355.61
2007-01-01,366.55
2007-04-01,375.44
2007-07-01,380.15
2007-10-01,383.12
2008-01-01,382.07
2008-04-01,376.08
2008-07-01,364.71
2008-10-01,363.74
2009-01-01,360.90
2009-04-01,347.20
2009-07-01,332.50
2009-10-01,328.53
2010-01-01,323.63
2010-04-01,318.94
2010-07-01,321.75
2010-10-01,320.03
2011-01-01,305.82
2011-04-01,299.09
2011-07-01,304.65
2011-10-01,305.98
2012-01-01,305.28
2012-04-01,303.63
2012-07-01,310.05
2012-10-01,315.56
