observation_date,VASTHPI
2000-01-01,229.05
2000-04-01,233.78
2000-07-01,237.93
2000-10-01,241.95
2001-01-01,248.05
2001-04-01,253.80
2001-07-01,259.45
2001-10-01,263.05
2002-01-01,268.20
2002-04-01,275.72
2002-07-01,282.79
2002-10-01,286.67
2003-01-01,291.01
2003-04-01,295.73
2003-07-01,302.82
2003-10-01,315.10
2004-01-01,323.12
2004-04-01,335.56
2004-07-01,356.89
2004-10-01,369.36
2005-01-01,384.03
2005-04-01,405.80
2005-07-01,425.34
2005-10-01,437.20
2006-01-01,447.08
2006-04-01,455.32
2006-07-01,458.31
2006-10-01,464.70
2007-01-01,466.78
2007-04-01,467.92
2007-07-01,461.96
2007-10-01,460.85
2008-01-01,458.42
2008-04-01,445.41
2008-07-01,433.10
2008-10-01,429.57
2009-01-01,431.28
2009-04-01,420.50
2009-07-01,411.13
2009-10-01,408.03
2010-01-01,402.61
2010-04-01,399.91
2010-07-01,403.94
2010-10-01,401.76
2011-01-01,392.33
2011-04-01,387.40
2011-07-01,390.70
2011-10-01,393.48
2012-01-01,389.13
2012-04-01,386.53
2012-07-01,391.36
2012-10-01,392.95
