observation_date,VTSTHPI
2000-01-01,250.60
2000-04-01,253.93
2000-07-01,259.62
2000-10-01,264.20
2001-01-01,268.87
2001-04-01,274.05
2001-07-01,280.59
2001-10-01,284.06
2002-01-01,289.90
2002-04-01,296.66
2002-07-01,301.72
2002-10-01,304.37
2003-01-01,307.84
2003-04-01,312.87
2003-07-01,321.00
2003-10-01,337.84
2004-01-01,342.07
2004-04-01,352.20
2004-07-01,374.52
2004-10-01,382.54
2005-01-01,393.99
2005-04-01,407.51
2005-07-01,421.99
2005-10-01,430.95
2006-01-01,436.88
2006-04-01,446.75
2006-07-01,448.30
2006-10-01,454.63
2007-01-01,458.89
2007-04-01,457.87
2007-07-01,458.96
2007-10-01,457.07
2008-01-01,463.86
2008-04-01,457.80
2008-07-01,454.32
2008-10-01,453.93
2009-01-01,454.19
2009-04-01,447.77
2009-07-01,444.94
2009-10-01,440.84
2010-01-01,440.73
2010-04-01,439.38
2010-07-01,440.24
2010-10-01,441.68
2011-01-01,438.79
2011-04-01,433.50
2011-07-01,434.30
2011-10-01,439.72
2012-01-01,438.00
2012-04-01,436.28
2012-07-01,437.33
2012-10-01,437.44
