observation_date,WASTHPI
2000-01-01,269.42
2000-04-01,272.11
2000-07-01,275.80
2000-10-01,279.31
2001-01-01,286.09
2001-04-01,289.97
2001-07-01,292.92
2001-10-01,294.87
2002-01-01,298.49
2002-04-01,302.08
2002-07-01,305.77
2002-10-01,308.37
2003-01-01,310.90
2003-04-01,313.56
2003-07-01,317.47
2003-10-01,325.48
2004-01-01,330.44
2004-04-01,340.29
2004-07-01,354.52
2004-10-01,362.64
2005-01-01,374.30
2005-04-01,394.31
2005-07-01,411.75
2005-10-01,428.89
2006-01-01,444.32
2006-04-01,459.62
2006-07-01,473.30
2006-10-01,483.37
2007-01-01,492.11
2007-04-01,497.75
2007-07-01,498.99
2007-10-01,501.78
2008-01-01,500.40
2008-04-01,490.57
2008-07-01,475.89
2008-10-01,470.99
2009-01-01,467.27
2009-04-01,447.37
2009-07-01,432.63
2009-10-01,426.77
2010-01-01,419.36
2010-04-01,414.52
2010-07-01,414.37
2010-10-01,407.05
2011-01-01,393.33
2011-04-01,383.36
2011-07-01,384.56
2011-10-01,384.89
2012-01-01,378.70
2012-04-01,375.36
2012-07-01,382.30
2012-10-01,386.87
