observation_date,WVSTHPI
2000-01-01,148.54
2000-04-01,149.73
2000-07-01,151.03
2000-10-01,152.06
2001-01-01,156.68
2001-04-01,158.13
2001-07-01,158.81
2001-10-01,160.42
2002-01-01,161.37
2002-04-01,163.25
2002-07-01,164.59
2002-10-01,166.91
2003-01-01,167.18
2003-04-01,169.14
2003-07-01,171.40
2003-10-01,173.11
2004-01-01,175.70
2004-04-01,179.07
2004-07-01,182.79
2004-10-01,186.03
2005-01-01,190.14
2005-04-01,196.01
2005-07-01,202.91
2005-10-01,205.95
2006-01-01,210.04
2006-04-01,207.99
2006-07-01,210.48
2006-10-01,213.30
2007-01-01,214.38
2007-04-01,213.99
2007-07-01,214.10
2007-10-01,215.80
2008-01-01,216.11
2008-04-01,215.60
2008-07-01,212.15
2008-10-01,210.09
2009-01-01,213.35
2009-04-01,210.74
2009-07-01,206.34
2009-10-01,205.64
2010-01-01,205.58
2010-04-01,205.36
2010-07-01,206.21
2010-10-01,208.11
2011-01-01,203.59
2011-04-01,200.41
2011-07-01,203.72
2011-10-01,204.99
2012-01-01,203.36
2012-04-01,203.52
2012-07-01,204.51
2012-10-01,205.35
