observation_date,WYSTHPI
2000-01-01,151.07
2000-04-01,152.79
2000-07-01,154.30
2000-10-01,157.66
2001-01-01,158.80
2001-04-01,161.76
2001-07-01,164.25
2001-10-01,166.21
2002-01-01,169.44
2002-04-01,171.81
2002-07-01,174.97
2002-10-01,176.72
2003-01-01,178.64
2003-04-01,182.71
2003-07-01,185.24
2003-10-01,188.85
2004-01-01,192.37
2004-04-01,197.58
2004-07-01,204.87
2004-10-01,208.94
2005-01-01,213.19
2005-04-01,219.94
2005-07-01,228.04
2005-10-01,234.17
2006-01-01,240.97
2006-04-01,248.70
2006-07-01,256.58
2006-10-01,263.20
2007-01-01,269.59
2007-04-01,276.68
2007-07-01,280.32
2007-10-01,281.91
2008-01-01,283.48
2008-04-01,284.32
2008-07-01,282.16
2008-10-01,282.08
2009-01-01,282.13
2009-04-01,281.65
2009-07-01,275.08
2009-10-01,272.76
2010-01-01,268.13
2010-04-01,269.45
2010-07-01,269.38
2010-10-01,269.31
2011-01-01,265.53
2011-04-01,262.44
2011-07-01,266.30
2011-10-01,266.16
2012-01-01,266.74
2012-04-01,267.15
2012-07-01,269.31
2012-10-01,271.62
